"Sets";"Card";"Cost";"Count";"Randomizer";"Types";"Group";"Description";"Extra"
"menagerie";"Black Cat";2;;"Y";"Action,Attack,Reaction";;"+2 Cards<n>If it isn't your turn, each other player gains a Curse.<line>When another player gains a Victory card, you may play this from your hand.";"When you play this on your turn, you draw 2 cards.<n>When you play it on another player's turn - normally only possible via its reaction - you draw 2 cards, and then everyone else gains a Curse, in turn order starting with the player whose turn it is.<n>When anyone else gains a Victory card - whether or not it is your turn - you may play this from your hand."
"menagerie";"Sleigh";2;;"Y";"Action,Reaction";;"Gain 2 Horses.<line>When you gain a card, you may discard this, to put that card into your hand or onto your deck. ";"You can move the gained card from your discard pile even though you discarded Sleigh on top of it.<n>If a gained card goes directly to somewhere other than your discard pile (for example, the Silver gained from Bureaucrat), Sleigh can still move it to your hand or the top of your deck.<n>If something else has moved the card since it was gained, Sleigh cannot move it. "
"menagerie";"Supplies";2;;"Y";"Treasure";;"1 <*COIN*><br><br>When you play this, gain a Horse onto your deck.";"This is a Treasure worth 1 Coin, like Copper; you play it in your Buy phase.<n>When you play this, gain a Horse, putting it directly onto your deck. "
"menagerie";"Camel Train";3;;"Y";"Action";;"Exile a non-Victory card from the Supply.<line>When you gain this, Exile a Gold from the Supply.";"When you play this, you Exile a non-Victory card from the Supply; when you gain this, you Exile a Gold from the Supply.<n>The Exiled cards are not available for use until discarded from the Exile mat."
"menagerie";"Goatheard";3;;"Y";"Action";;"+1 Action<n>You may trash a card from your hand.<n>+1 Card per card the player to your right trashed on their last turn.";"You draw cards even if you did not trash a card.<n>One way to keep count of the number of cards trashed is to put them on the trash sideways."
"menagerie";"Scrap";3;;"Y";"Action";;"Trash a card from your hand.<n>Choose a different thing per 1 Coin it costs: +1 Card; +1 Action; +1 Buy; +1 Coin; gain a Silver; gain a Horse.";"First trash a card, then choose a different bonus per 1 Coin the card cost, then do them in the order listed.<n>So you might trash an Estate, choose +1 Card and \""gain a Horse,\"" then draw a card and then gain the Horse."
"menagerie";"Sheepdog";3;;"Y";"Action,Reaction";;"+2 Cards<line>When you gain a card, you may play this from your hand.";"You can use this when gaining a card due to buying it, when gaining a card some other way such as due to Falconer, and even when gaining a card on another player's turn, such as due to Black Cat.<n>Remember that when you buy a card, you can no longer play Treasures in that Buy phase.<n>If you gain a Sheepdog to your hand - such as via Falconer - you can react to that gain and play the Sheepdog.<n>f you gain a card with a \""when you gain\"" clause, you can choose to resolve that before or after reacting with Sheepdog, for example, if you gain Hostelry, you can choose to discard Treasures for Horses before or after reacting with Sheepdog."
"menagerie";"Snowy Village";3;;"Y";"Action";;"+1 Card<br>+4 Actions<br>+1 Buy<br><n>Ignore any further +Actions you get this turn.";"Any extra Actions you already had before playing this do not go away; for example, if you play Village and then Snowy Village, you can play 5 more Actions after that.<n>Any further +Actions you would get that turn, you do not, including from playing another Snowy Village or converting Villagers (from Renaissance).<n>This does not stop you from playing more cards via cards that tell you to play cards, such as Throne Room.<n>You can convert Villagers between drawing the card and reaching the last sentence which prevents further +Actions."
"menagerie";"Stockpile";3;;"Y";"Treasure";;"3 <*COIN*><br><br>+1 Buy<n>When you play this, Exile it.";"This is a Treasure worth 3 coin, like Gold; you play it in your Buy phase.<n>When you play this, you also get +1 Buy, and put this on your Exile mat.<n>If you play this twice with a card like Crown (from Empires), you will get +6 coin and +2 Buys total, even though you could only Exile it once."
"menagerie";"Bounty Hunter";4;;"Y";"Action";;"+1 Action<br>Exile a card from your hand.<n>If you didn't have a copy of it in Exile, +3 Coin.";"First you get +1 Action and Exile a card from your hand; this is not optional.<n>Then if that is the only copy of that card that you have in Exile, you get +3 Coin.<n>If you can't Exile a card, you don't get +3 Coin."
"menagerie";"Cardinal";4;;"Y";"Action,Attack";;"+2 Coin<br>Each other player reveals the top 2 cards of their deck, Exiles one costing from 3 Coin to 6 Coin, and discards the rest.";"If an attacked player reveals two cards each costing from 3 Coin to 6 Coin, that player chooses which card they Exile."
"menagerie";"Cavalry";4;;"Y";"Action";;"Gain 2 Horses.<line>When you gain this, +2 Cards, +1 Buy, and if it's your Buy phase return to your Action phase.";"When you gain Cavalry in your Buy phase, you get +2 Cards, +1 Buy, and return to your Action phase.<n>When you gain Cavalry in a different phase or during another player's turn, you get +2 Cards and +1 Buy.<n>+1 Buy is not useful if it is not your turn.<n>This ability of Cavalry is not playing the Cavalry, and does not put Cavalry into play.<n>Returning to your Action phase does not cause \""start of turn\"" abilities to repeat; however when your Buy phase happens again after that, \""start of your Buy phase\"" abilities can repeat.<n>Returning to your Action phase does not give you any +Actions; you have left however many you already had left."
"menagerie";"Groom";4;;"Y";"Action";;"Gain a card costing up to 4 Coin If it's an...<n>Action card, gain a Horse;<n>Treasure card, gain a Silver;<n>Victory card, +1 Card and +1 Action.<n>";"First gain a card, then apply the bonuses in the order listed.<n>A card can give you multiple bonuses; for example, if you gain a Mill (from Intrigue), you gain a Horse and then get +1 Card and +1 Action."
"menagerie";"Hostelry";4;;"Y";"Action";;"+1 Card<br>+2 Actions<line>When you gain this, you may discard any number of Treasures, revealed, to gain that many Horses.";"When you gain this, you may discard any number of Treasure cards from your hand, to gain that many Horses from their pile.<n>Reveal the discarded Treasure cards.<n>You do not have to discard anything, and cannot discard anything but Treasures."
