"Set","card_tag","en_us","de","it","fr","cz"
"Adventures","Amulet","Amulet","Amulett",,"Amulette",
"Adventures","Lost Arts","Lost Arts","Verlorene Kunst",,"Arts anciens",
"Adventures","Alms","Alms","Almosen",,"Aumône",
"Adventures","Ferry","Ferry","Überfahrt",,"Bac",
"Adventures","Ball","Ball","Ball",,"Bal",
"Adventures","Haunted Woods","Haunted Woods","Geisterwald",,"Bois hantés",
"Adventures","Champion","Champion","Champion",,"Championne",
"Adventures","Ratcatcher","Ratcatcher","Rattenfänger",,"Chasseur de rats",
"Adventures","Treasure Hunter","Treasure Hunter","Schatzsucher",,"Chasseuse de Trésors",
"Adventures","Lost City","Lost City","Verlorene Stadt",,"Cité perdue",
"Adventures","Trade","Trade","Handel",,"Commerce",
"Adventures","Storyteller","Storyteller","Geschichtenerzähler",,"Conteuse",
"Adventures","Duplicate","Duplicate","Duplikat",,"Copie",
"Adventures","Royal Carriage","Royal Carriage","Königliche Kutsche",,"Cortège royal",
"Adventures","Messenger","Messenger","Kurier",,"Courrier",
"Adventures","Raze","Raze","Zerstörung",,"Démolition",
"Adventures","Disciple","Disciple","Schüler",,"Disciple",
"Adventures","Dungeon","Dungeon","Verlies",,"Donjon",
"Adventures","Borrow","Borrow","Leihgabe",,"Emprunt",
"Adventures","Training","Training","Training",,"Entraînement",
"Adventures","Gear","Gear","Ausrüstung",,"Équipement",
"Adventures","Caravan Guard","Caravan Guard","Karawanenwächter",,"Escorte",
"Adventures","Expedition","Expedition","Expedition",,"Expédition",
"Adventures","Bonfire","Bonfire","Freudenfeuer",,"Feu de joie",
"Adventures","Travelling Fair","Travelling Fair","Wanderzirkus",,"Forains",
"Adventures","Ranger","Ranger","Wildhüter",,"Forestier",
"Adventures","Fugitive","Fugitive","Flüchtling",,"Fugitif",
"Adventures","Giant","Giant","Riese",,"Géant",
"Adventures","Warrior","Warrior","Krieger",,"Guerrière",
"Adventures","Guide","Guide","Kundschafter",,"Guide",
"Adventures","Inheritance","Inheritance","Erbschaft",,"Héritage",
"Adventures","Hero","Hero","Held",,"Héroïne",
"Adventures","Teacher","Teacher","Lehrer",,"Maître",
"Adventures","Artificer","Artificer","Kunsthandwerker",,"Maître-artisan",
"Adventures","Wine Merchant","Wine Merchant","Weinhändler",,"Marchand de vin",
"Adventures","Miser","Miser","Geizhals",,"Miséreux",
"Adventures","Mission","Mission","Mission",,"Mission",
"Adventures","Coin of the Realm","Coin of the Realm","Königliche Münzen",,"Monnaie Royale",
"Adventures","Page","Page","Page",,"Page",
"Adventures","Peasant","Peasant","Kleinbauer",,"Paysan",
"Adventures","Pilgrimage","Pilgrimage","Pilgerfahrt",,"Pèlerinage",
"Adventures","Magpie","Magpie","Elster",,"Pie voleuse",
"Adventures","Treasure Trove","Treasure Trove","Schatz",,"Pierres précieuses",
